Month-Year,Total SNAP Recipients
Jan-2012,1815175
Feb-2012,1811369
Mar-2012,1821023
Apr-2012,1810179
May-2012,1825013
Jun-2012,1834161
Jul-2012,1837299
Aug-2012,1844896
Sep-2012,1836249
Oct-2012,1838911
Nov-2012,1864472
Dec-2012,1906610
Jan-2013,1864854
Feb-2013,1858529
Mar-2013,1872945
Apr-2013,1872839
May-2013,1871135
Jun-2013,1873527
Jul-2013,1880790
Aug-2013,1869226
Sep-2013,1855649
Oct-2013,1850432
Nov-2013,1836252
Dec-2013,1838337
Jan-2014,1821535
Feb-2014,1785876
Mar-2014,1769583
Apr-2014,1762745
May-2014,1758889
Jun-2014,1755806
Jul-2014,1751949
Aug-2014,1743729
Sep-2014,1739660
Oct-2014,1738405
Nov-2014,1732347
Dec-2014,1742730
Jan-2015,1722856
Feb-2015,1716588
Mar-2015,1716035
Apr-2015,1709929
May-2015,1701527
Jun-2015,1706657
Jul-2015,1699730
Aug-2015,1692560
Sep-2015,1696174
Oct-2015,1694576
Nov-2015,1686941
Dec-2015,1688470
Jan-2016,1676822
Feb-2016,1679814
Mar-2016,1678033
Apr-2016,1677093
May-2016,1694747
Jun-2016,1693156
Jul-2016,1690283
Aug-2016,1707718
Sep-2016,1702125
Oct-2016,1692789
Nov-2016,1698133
Dec-2016,1698771
Jan-2017,1696761
Feb-2017,1678623
Mar-2017,1682786
Apr-2017,1669824
May-2017,1682555
Jun-2017,1676347
Jul-2017,1670141
Aug-2017,1662817
Sep-2017,1655650
Oct-2017,1636416
Nov-2017,1640403
Dec-2017,1635635
Jan-2018,1635537
Feb-2018,1620356
Mar-2018,1633962
Apr-2018,1618824
May-2018,1618164
Jun-2018,1607466
Jul-2018,1603658
Aug-2018,1604622
Sep-2018,1594530
Oct-2018,1590812
Nov-2018,1577524
Dec-2018,1571790
Jan-2019,1570537
Feb-2019,1564537
Mar-2019,1561666
Apr-2019,1550397
May-2019,1535328
Jun-2019,1523502
Jul-2019,1519574
Aug-2019,1511568
Sep-2019,1503369
Oct-2019,1492469
Nov-2019,1493365
Dec-2019,1490158
Jan-2020,1487820
Feb-2020,1481257
Mar-2020,1483230
Apr-2020,1551944
May-2020,1589098
Jun-2020,1642256
Jul-2020,1664464
Aug-2020,1683674
Sep-2020,1705337
Oct-2020,1694036
Nov-2020,1635286
Dec-2020,1645956
Jan-2021,1664807
Feb-2021,1663125
Mar-2021,1688057
Apr-2021,1720400
May-2021,1720443
Jun-2021,1734160
Jul-2021,1708727
Aug-2021,1692686
Sep-2021,1688738
Oct-2021,1669658
Nov-2021,1670259
Dec-2021,1661199
Jan-2022,1680144
Feb-2022,1698693
Mar-2022,1723618
Apr-2022,1717524
May-2022,1719652
Jun-2022,1713373
Jul-2022,1735517
Aug-2022,1731318
Sep-2022,1707485
Oct-2022,1687963
Nov-2022,1692031
Dec-2022,1733885
Jan-2023,1767422
Feb-2023,1754927